epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,train/foundation_p3_loss,train/foundation_p4_loss,train/foundation_p5_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
35,6547.54,1.62391,2.31905,0.02204,0.99857,13.3046,0.49046,0.39009,0.39799,0.23926,1.57598,1.98032,0.02684,0,0,13.3046,0,13.3046,0,0.0693587,0.172715,3.00161,3.00161,0,1,14.5191,13.9762,11.4184,0.0091585,0.0091585,0.0091585,0.00457925,0.018317
36,6728.42,1.61478,2.30282,0.02192,0.99931,13.3218,0.49128,0.40221,0.40307,0.24214,1.56657,1.96195,0.02665,0,0,13.3218,0,13.3218,0,0.0694469,0.174103,3.00161,3.00161,0,1,14.5527,13.9749,11.4377,0.00913375,0.00913375,0.00913375,0.00456687,0.0182675
37,6912.62,1.61335,2.28488,0.0218,0.99874,13.2662,0.48557,0.40676,0.40762,0.24378,1.56383,1.95692,0.02659,0,0,13.2662,0,13.2662,0,0.0691588,0.174477,3.00161,3.00161,0,1,14.4777,13.9147,11.4062,0.009109,0.009109,0.009109,0.0045545,0.018218
38,7095.98,1.60298,2.27135,0.02176,0.99808,13.1746,0.49728,0.41321,0.41733,0.25014,1.55938,1.94688,0.02652,0,0,13.1746,0,13.1746,0,0.0686824,0.174157,3.00161,3.00161,0,1,14.3818,13.831,11.3108,0.00908425,0.00908425,0.00908425,0.00454213,0.0181685
39,7279.69,1.60174,2.26335,0.02177,0.99847,13.3532,0.48907,0.41979,0.41804,0.25229,1.5508,1.93066,0.02637,0,0,13.3532,0,13.3532,0,0.0696192,0.177294,3.00161,3.00161,0,1,14.5809,14.0283,11.4505,0.0090595,0.0090595,0.0090595,0.00452975,0.018119
40,7462.03,1.60923,2.25598,0.02168,0.99865,13.2024,0.51541,0.41141,0.42256,0.25565,1.53856,1.91607,0.02599,0,0,13.2024,0,13.2024,0,0.0688312,0.175292,3.00161,3.00161,0,1,14.3843,13.8764,11.3464,0.00903475,0.00903475,0.00903475,0.00451737,0.0180695
41,7645.23,1.59551,2.24443,0.02151,0.9988,13.2113,0.53253,0.42109,0.43045,0.26075,1.53544,1.89031,0.02591,0,0,13.2113,0,13.2113,0,0.0688771,0.176388,3.00161,3.00161,0,1,14.4072,13.925,11.3017,0.00901,0.00901,0.00901,0.004505,0.01802
42,7827.75,1.6009,2.24403,0.02137,0.99882,13.0666,0.52563,0.42472,0.43577,0.2653,1.53081,1.88814,0.0258,0,0,13.0666,0,13.0666,0,0.0681197,0.174474,3.00161,3.00161,0,1,14.2377,13.7428,11.2194,0.00898525,0.00898525,0.00898525,0.00449263,0.0179705
43,8021.57,1.59171,2.21754,0.02138,0.99894,13.0473,0.51496,0.43325,0.4378,0.26736,1.5238,1.87533,0.02563,0,0,13.0473,0,13.0473,0,0.0680217,0.175912,3.00161,3.00161,0,1,14.232,13.7185,11.1913,0.0089605,0.0089605,0.0089605,0.00448025,0.017921
44,8206.57,1.58851,2.20794,0.02137,0.99858,13.0565,0.53385,0.42746,0.44522,0.27294,1.51472,1.85695,0.02539,0,0,13.0565,0,13.0565,0,0.0680657,0.176797,3.00161,3.00161,0,1,14.225,13.7222,11.2224,0.00893575,0.00893575,0.00893575,0.00446788,0.0178715
45,8390.68,1.57818,2.20291,0.02118,0.99916,13.081,0.52843,0.43233,0.4489,0.27477,1.50957,1.84411,0.02531,0,0,13.081,0,13.081,0,0.0681969,0.177401,3.00161,3.00161,0,1,14.2761,13.781,11.186,0.008911,0.008911,0.008911,0.0044555,0.017822
46,8575.39,1.57897,2.1911,0.02133,0.99855,12.9967,0.52873,0.43888,0.45305,0.27968,1.50615,1.82966,0.02523,0,0,12.9967,0,12.9967,0,0.0677554,0.177056,3.00161,3.00161,0,1,14.1989,13.6632,11.1279,0.00888625,0.00888625,0.00888625,0.00444313,0.0177725
47,8760.19,1.58179,2.17358,0.02115,0.99946,12.9326,0.52899,0.44172,0.45705,0.28138,1.50383,1.82041,0.02517,0,0,12.9326,0,12.9326,0,0.0674252,0.177098,3.00161,3.00161,0,1,14.1176,13.5923,11.088,0.0088615,0.0088615,0.0088615,0.00443075,0.017723
48,8948.61,1.57709,2.17617,0.02103,0.99885,12.9206,0.53292,0.44564,0.46072,0.28549,1.49764,1.80737,0.02502,0,0,12.9206,0,12.9206,0,0.0673594,0.17707,3.00161,3.00161,0,1,14.0922,13.6091,11.0605,0.00883675,0.00883675,0.00883675,0.00441838,0.0176735
49,9133.22,1.57542,2.16452,0.02103,0.99916,12.8743,0.53854,0.45421,0.46511,0.28948,1.49109,1.79732,0.02481,0,0,12.8744,0,12.8744,0,0.0671232,0.177397,3.00161,3.00161,0,1,14.0383,13.5413,11.0434,0.008812,0.008812,0.008812,0.004406,0.017624
50,9319.15,1.56678,2.15265,0.02083,0.99921,12.8389,0.54061,0.45716,0.47074,0.29235,1.48696,1.79137,0.02472,0,0,12.8389,0,12.8389,0,0.0669348,0.17787,3.00161,3.00161,0,1,14.0112,13.5171,10.9884,0.00878725,0.00878725,0.00878725,0.00439362,0.0175745
51,9503.13,1.57053,2.14532,0.02097,0.99921,12.8186,0.54987,0.45923,0.47612,0.29627,1.48478,1.78373,0.02467,0,0,12.8186,0,12.8186,0,0.0668264,0.177497,3.00161,3.00161,0,1,13.9836,13.4986,10.9735,0.0087625,0.0087625,0.0087625,0.00438125,0.017525
52,9691.44,1.56608,2.13213,0.02084,0.99919,12.8157,0.54551,0.46346,0.47776,0.2978,1.48441,1.77569,0.02466,0,0,12.8157,0,12.8157,0,0.0668147,0.178116,3.00161,3.00161,0,1,13.9568,13.5079,10.9823,0.00873775,0.00873775,0.00873775,0.00436888,0.0174755
53,9877.55,1.55608,2.13037,0.02071,0.99904,12.7782,0.55537,0.46258,0.48106,0.30037,1.48311,1.76931,0.02458,0,0,12.7782,0,12.7782,0,0.0666145,0.178219,3.00161,3.00161,0,1,13.9407,13.4592,10.9347,0.008713,0.008713,0.008713,0.0043565,0.017426
54,10062.1,1.56066,2.116,0.02079,0.99935,12.7893,0.55666,0.46359,0.48087,0.30071,1.47938,1.76701,0.02451,0,0,12.7893,0,12.7893,0,0.0666791,0.179041,3.00161,3.00161,0,1,13.9595,13.4701,10.9383,0.00868825,0.00868825,0.00868825,0.00434412,0.0173765
55,10245.5,1.55335,2.11377,0.02069,0.99906,12.7508,0.56289,0.46194,0.48481,0.30389,1.47422,1.75913,0.0244,0,0,12.7508,0,12.7508,0,0.0664859,0.179032,3.00161,3.00161,0,1,13.9379,13.4218,10.8929,0.0086635,0.0086635,0.0086635,0.00433175,0.017327
56,10427.8,1.54944,2.10632,0.02068,0.99935,12.7335,0.56816,0.46015,0.48712,0.30567,1.47016,1.7541,0.02432,0,0,12.7335,0,12.7335,0,0.066385,0.179335,3.00161,3.00161,0,1,13.8965,13.4097,10.8942,0.00863875,0.00863875,0.00863875,0.00431938,0.0172775
57,10611.2,1.54609,2.09488,0.02051,0.99955,12.7,0.565,0.46187,0.48867,0.30714,1.46649,1.7526,0.02423,0,0,12.7,0,12.7,0,0.0662088,0.179891,3.00161,3.00161,0,1,13.8867,13.366,10.8473,0.008614,0.008614,0.008614,0.004307,0.017228
58,10795.5,1.53749,2.08524,0.0205,0.9994,12.6796,0.57278,0.46188,0.49165,0.3092,1.46462,1.7449,0.02418,0,0,12.6796,0,12.6796,0,0.0661057,0.180102,3.00161,3.00161,0,1,13.8501,13.3252,10.8634,0.00858925,0.00858925,0.00858925,0.00429463,0.0171785
59,10980.9,1.54462,2.0959,0.02052,0.99921,12.6852,0.57535,0.46185,0.49342,0.31124,1.46055,1.74019,0.02408,0,0,12.6852,0,12.6852,0,0.0661279,0.179525,3.00161,3.00161,0,1,13.8638,13.3448,10.8469,0.0085645,0.0085645,0.0085645,0.00428225,0.017129
60,11165.8,1.543,2.07073,0.02035,0.99943,12.6306,0.56721,0.46652,0.49611,0.31306,1.46093,1.73426,0.0241,0,0,12.6306,0,12.6306,0,0.0658496,0.180156,3.00161,3.00161,0,1,13.7926,13.2768,10.8225,0.00853975,0.00853975,0.00853975,0.00426988,0.0170795
61,11349.8,1.54005,2.07443,0.02036,0.99964,12.6287,0.58057,0.46567,0.49835,0.31555,1.45826,1.72883,0.02404,0,0,12.6287,0,12.6287,0,0.0658459,0.180017,3.00161,3.00161,0,1,13.7978,13.2913,10.7971,0.008515,0.008515,0.008515,0.0042575,0.01703
62,11532.3,1.53531,2.06781,0.02021,0.99939,12.5549,0.5794,0.46502,0.49965,0.31647,1.45523,1.72315,0.02397,0,0,12.5549,0,12.5549,0,0.0654554,0.179533,3.00161,3.00161,0,1,13.7066,13.216,10.7421,0.00849025,0.00849025,0.00849025,0.00424513,0.0169805
63,11715.7,1.53596,2.06444,0.02029,0.99955,12.5862,0.58421,0.46648,0.50177,0.31812,1.45387,1.71701,0.02392,0,0,12.5862,0,12.5862,0,0.0656159,0.180058,3.00161,3.00161,0,1,13.737,13.2326,10.7888,0.0084655,0.0084655,0.0084655,0.00423275,0.016931
64,11900.7,1.54109,2.04977,0.0202,0.99955,12.5743,0.59091,0.46692,0.50368,0.31932,1.45094,1.71227,0.02387,0,0,12.5743,0,12.5743,0,0.0655599,0.180569,3.00161,3.00161,0,1,13.7371,13.2115,10.7744,0.00844075,0.00844075,0.00844075,0.00422038,0.0168815
65,12080.6,1.52428,2.05204,0.02025,0.9995,12.5519,0.58831,0.47132,0.50572,0.32074,1.44996,1.70639,0.02388,0,0,12.5519,0,12.5519,0,0.0654372,0.180945,3.00161,3.00161,0,1,13.7169,13.1929,10.7459,0.008416,0.008416,0.008416,0.004208,0.016832
66,12263.6,1.53074,2.04554,0.02023,0.99945,12.5347,0.59218,0.47142,0.50759,0.32242,1.44719,1.70352,0.02383,0,0,12.5346,0,12.5346,0,0.0653451,0.180404,3.00161,3.00161,0,1,13.6893,13.1631,10.7516,0.00839125,0.00839125,0.00839125,0.00419563,0.0167825
67,12443.7,1.52813,2.03287,0.02025,0.9995,12.5079,0.58751,0.47641,0.50922,0.32388,1.44513,1.69862,0.02378,0,0,12.5079,0,12.5079,0,0.0652177,0.180919,3.00161,3.00161,0,1,13.6752,13.131,10.7176,0.0083665,0.0083665,0.0083665,0.00418325,0.016733
68,12625.1,1.52665,2.02167,0.02011,0.9996,12.4671,0.59078,0.47335,0.51034,0.32492,1.44338,1.69445,0.02372,0,0,12.4671,0,12.4671,0,0.064999,0.181057,3.00161,3.00161,0,1,13.6506,13.0737,10.677,0.00834175,0.00834175,0.00834175,0.00417088,0.0166835
69,12808.2,1.5176,2.02129,0.02014,0.99966,12.4629,0.60351,0.47203,0.51111,0.32557,1.44175,1.68997,0.02368,0,0,12.463,0,12.463,0,0.0649758,0.181602,3.00161,3.00161,0,1,13.6529,13.071,10.6649,0.008317,0.008317,0.008317,0.0041585,0.016634
70,12988.9,1.51683,2.01904,0.02006,0.99953,12.5853,0.60358,0.47319,0.51152,0.3263,1.43992,1.68811,0.02365,0,0,12.5853,0,12.5853,0,0.0656126,0.183378,3.00161,3.00161,0,1,13.7713,13.243,10.7414,0.00829225,0.00829225,0.00829225,0.00414612,0.0165845
71,13170.2,1.51505,2.01167,0.01992,0.99951,12.4636,0.59797,0.47482,0.51229,0.3268,1.43804,1.68582,0.0236,0,0,12.4636,0,12.4636,0,0.0649798,0.182182,3.00161,3.00161,0,1,13.6317,13.0697,10.6895,0.0082675,0.0082675,0.0082675,0.00413375,0.016535
72,13351.1,1.50913,2.00777,0.0199,0.99969,12.4526,0.59628,0.47417,0.51333,0.32781,1.43709,1.68351,0.02358,0,0,12.4526,0,12.4526,0,0.0649204,0.182234,3.00161,3.00161,0,1,13.6276,13.0492,10.6811,0.00824275,0.00824275,0.00824275,0.00412138,0.0164855
73,13532.2,1.51835,2.01212,0.01991,0.99964,12.4195,0.59589,0.47452,0.5143,0.32885,1.4356,1.68107,0.02354,0,0,12.4195,0,12.4195,0,0.064749,0.181367,3.00161,3.00161,0,1,13.5892,13.039,10.6304,0.008218,0.008218,0.008218,0.004109,0.016436
74,13716.1,1.5128,1.99385,0.01984,0.99962,12.3844,0.59699,0.47488,0.51556,0.32947,1.43523,1.67813,0.02353,0,0,12.3844,0,12.3844,0,0.0645593,0.181877,3.00161,3.00161,0,1,13.5528,12.9723,10.6281,0.00819325,0.00819325,0.00819325,0.00409662,0.0163865
75,13898.4,1.51015,1.99573,0.01991,0.99974,12.4293,0.6004,0.473,0.51694,0.33109,1.43382,1.67612,0.02349,0,0,12.4293,0,12.4293,0,0.0648025,0.182547,3.00161,3.00161,0,1,13.5977,13.029,10.6611,0.0081685,0.0081685,0.0081685,0.00408425,0.016337
