epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
65,12487.9,1.48855,1.95263,0.01965,0.99956,0.61258,0.51193,0.55706,0.3631,1.39467,1.57225,0.02264,0,0.008416,0.008416,0.008416,0.004208,0.016832
66,12691.7,1.49438,1.94665,0.01964,0.99949,0.61241,0.51443,0.55747,0.3636,1.39365,1.56857,0.02261,0,0.00839125,0.00839125,0.00839125,0.00419563,0.0167825
67,12868,1.48753,1.93874,0.01957,0.99959,0.61539,0.51517,0.55896,0.36531,1.3918,1.56625,0.02257,0,0.0083665,0.0083665,0.0083665,0.00418325,0.016733
68,12981.4,1.48723,1.92941,0.01944,0.99938,0.61522,0.51623,0.56033,0.36607,1.39027,1.56553,0.02254,0,0.00834175,0.00834175,0.00834175,0.00417088,0.0166835
69,13094.7,1.48162,1.92734,0.01954,0.99965,0.62071,0.51708,0.56193,0.36696,1.38846,1.56456,0.0225,0,0.008317,0.008317,0.008317,0.0041585,0.016634
70,13207.2,1.48274,1.93121,0.01948,0.9995,0.62034,0.51832,0.56325,0.36802,1.38813,1.56069,0.02249,0,0.00829225,0.00829225,0.00829225,0.00414612,0.0165845
71,13318.4,1.48407,1.91802,0.01944,0.99963,0.6205,0.52081,0.56462,0.36896,1.38598,1.56003,0.02244,0,0.0082675,0.0082675,0.0082675,0.00413375,0.016535
72,13431.1,1.48403,1.91392,0.0195,0.99967,0.62096,0.52136,0.5653,0.36927,1.38516,1.55737,0.02242,0,0.00824275,0.00824275,0.00824275,0.00412138,0.0164855
73,13542.6,1.48375,1.91721,0.01938,0.9995,0.6178,0.52452,0.56614,0.37002,1.38316,1.55729,0.02239,0,0.008218,0.008218,0.008218,0.004109,0.016436
74,13654.9,1.48044,1.91087,0.01932,0.99975,0.61583,0.5259,0.56689,0.37108,1.38095,1.55619,0.02234,0,0.00819325,0.00819325,0.00819325,0.00409662,0.0163865
75,13767.3,1.48287,1.90667,0.01951,0.99951,0.61833,0.52527,0.56779,0.37191,1.38048,1.55322,0.02233,0,0.0081685,0.0081685,0.0081685,0.00408425,0.016337
76,13878.7,1.49092,1.90103,0.01943,0.9997,0.61824,0.52795,0.56895,0.37271,1.3803,1.54958,0.02232,0,0.00814375,0.00814375,0.00814375,0.00407187,0.0162875
77,13993.2,1.47963,1.89765,0.01937,0.99961,0.62689,0.52365,0.56997,0.37327,1.37955,1.54697,0.0223,0,0.008119,0.008119,0.008119,0.0040595,0.016238
78,14106.2,1.47072,1.88246,0.01927,0.99962,0.62482,0.52528,0.57081,0.37431,1.3787,1.54515,0.02228,0,0.00809425,0.00809425,0.00809425,0.00404712,0.0161885
79,14218.3,1.47088,1.89853,0.01925,0.99972,0.61891,0.52935,0.57142,0.37515,1.37774,1.54333,0.02226,0,0.0080695,0.0080695,0.0080695,0.00403475,0.016139
80,14330,1.47091,1.88612,0.01924,0.9998,0.62311,0.5274,0.57232,0.3759,1.37691,1.54126,0.02225,0,0.00804475,0.00804475,0.00804475,0.00402237,0.0160895
81,14442.6,1.47437,1.8703,0.01925,0.99968,0.62468,0.52643,0.57308,0.37645,1.37641,1.53925,0.02224,0,0.00802,0.00802,0.00802,0.00401,0.01604
82,14557.4,1.46265,1.88336,0.01921,0.99977,0.62385,0.52757,0.57358,0.37703,1.3746,1.53842,0.02219,0,0.00799525,0.00799525,0.00799525,0.00399763,0.0159905
